"","agg_code","agg_desc","Equipment","IPP","Structures"
"1","11","Agri, Forestry, Fishing",0.335396177687137,0.118085449809739,0.546518372503125
"2","21","Mining, Fossil Extraction",0.0316685163129004,0.00795233183551498,0.960379151851585
"3","22","Electricity, Water",0.188343490782085,0.058597699310474,0.753058809907441
"4","23","Construction",0.764706091905078,0.0437223560665382,0.191571552028384
"5","31","Food, Drink, Textile, Apparel",0.226046795848993,0.13772628549955,0.636226918651457
"6","32","Bio, Chemical, Mineral Products",0.259341632352084,0.184017150281011,0.556641217366905
"7","33","Metal, Vehicles, Machinery",0.354945949168529,0.216439083682817,0.428614967148653
"8","42","Wholesale Trade",0.50663735668052,0.228462147417132,0.264900495902348
"9","4X","Retail Trade",0.424107865320218,0.0966257237503694,0.479266410929413
"10","48","Transport",0.585235627863873,0.0331056442782598,0.381658727857868
"11","49","Delivery, Warehousing",0.62278144593104,0.0806569586564341,0.296561595412526
"12","51","Information Industries",0.0816894258504759,0.723147352052152,0.195163222097372
"13","52","Finance, Insurance",0.631556055841176,0.113248482979681,0.255195461179143
"14","53","Housing, Real Estate",0.105883650077922,0.0164455068617986,0.877670843060279
"15","54","Science, Prof. Services",0.345125208880868,0.46125747437012,0.193617316749012
"16","55","Management",0.151232828753464,0.289799463079094,0.558967708167442
"17","56","Admin, Support, Waste Services",0.419738774041233,0.301412254463396,0.27884897149537
"18","61","Education",0.448118147092246,0.352044760890397,0.199837092017357
"19","62","Healthcare, Social assistance",0.561556044534636,0.227913065243468,0.210530890221896
"20","71","Arts, Entertainment, Recreation",0.13669634677931,0.526291412597876,0.337012240622814
"21","72","Accommodation, Restaurants",0.257946385307441,0.0601017945139795,0.68195182017858
"22","81","Repair, Personal services",0.261415020697015,0.0727916535492974,0.665793325753687
"23","S0","Govt., Reuse, Trade Adjustments",0.292237053367929,0.0261311145818172,0.681631832050254
