"","dig_code","dig_desc","11","21","22","23","31","32","33","42","48","49","4X","51","52","53","54","55","56","61","62","71","72","81","S0"
"35","233411","Single-family residential structures",0,0,0,0,0,0,0,0,0,0,0,0,0,121972.76,0,0,0,0,0,0,0,0,4221.96826672023
"36","2332C0","Transportation structures and highways and streets",380.607246411203,157.533924095229,129.683393330658,1067.6366178449,59.1966839490601,226.31050103121,284.256858248268,658.588630943793,9479.31469985443,355.758793928833,377.752960977518,185.28079663791,3313.23286439519,2535.43582906383,221.944960191834,43.3039389619097,396.972945128733,43.1053776782932,122.736082169804,103.725765431391,64.7801737269398,180.324730316891,48858.8709771514
"37","321100","Sawmills and wood preservation",10,103,0,9050,2,20137,4135,35,1245,0,24,187,0,30,85,1,20,1,437,36,124,36,228
"38","321200","Veneer, plywood, and engineered wood product manufacturing",0,0,0,13930,0,4436,6485,3,0,0,27,550,0,48,73,0,176,6,425,57,270,48,706
"39","321910","Millwork",30,19,0,14193,1,2793,2143,66,98,0,115,1445,0,4628,333,1,43,30,180,46,409,105,326
"40","3219A0","All other wood product manufacturing",349,65,0,4230,313,2899,2482,1628,109,144.977104166667,1125,219,109,3824.55873493976,134,0,302,25,222,16,461,171,2169.27073133117
"41","327100","Clay product and refractory manufacturing",0,0,0,6109,0,1386,1587,0,0,0,231,924,0,8,167,1,1,8,294,19,170,10,99
"42","327200","Glass and glass product manufacturing",1,0,0,1095,4627,4960,6517,22,15,29,47,43,74,23,1191,97,260,52,2286,5,327,238,500
"43","327310","Cement manufacturing",1,637,0,1194,0,9564,106,0,11,0,5,37,0,6,86,0,0,1,15,4,37,1,8
"44","327320","Ready-mix concrete manufacturing",3,21,1,29277,0,903,56,83,0,0,180,702,0,112,827,3,0,42,181,57,186,56,1289
"45","327330","Concrete pipe, brick, and block manufacturing",7,4,6,6349,0,389,319,0,1,0,160,193,0,0,604,1,2,10,74,20,280,12,381
"46","327390","Other concrete product manufacturing",0,0,29,9312,0,753,407,112,1,0,359,355,0,36,214,17,131,1,142,31,227,568,306
"47","327400","Lime and gypsum product manufacturing",6,155,0,3395,0,905,1223,1,0,0,48,196,0,33,329,1,498,2,71,22,283,32,146
"48","327910","Abrasive product manufacturing",0,11,0,339,6,847,3229,6,0,66,5,19,0,24,20,0,16,1,1,2,0,99,341
