agg_code,dig_code,dig_desc,count
52,524200,"Insurance agencies, brokerages, and related activities",1
52,525000,"Funds, trusts, and other financial vehicles",1
52,52A000,Monetary authorities and depository credit intermediation,1
53,5310HS,Housing,1
53,531ORE,Other real estate,1
53,532100,Automotive equipment rental and leasing,1
53,532400,Commercial and industrial machinery and equipment rental and leasing,1
53,532A00,Consumer goods and general rental centers,1
53,533000,Lessors of nonfinancial intangible assets,1
54,541100,Legal services,1
54,541200,"Accounting, tax preparation, bookkeeping, and payroll services",1
54,541300,"Architectural, engineering, and related services",1
54,541400,Specialized design services,1
54,541511,Custom computer programming services,1
54,541512,Computer systems design services,1
54,54151A,"Other computer related services, including facilities management",1
54,541610,Management consulting services,1
54,5416A0,Environmental and other technical consulting services,1
54,541700,Scientific research and development services,1
54,541800,"Advertising, public relations, and related services",1
54,541920,Photographic services,1
54,541940,Veterinary services,1
54,5419A0,"Marketing research and all other miscellaneous professional, scientific, and technical services",1
55,550000,Management of companies and enterprises,1
56,561100,Office administrative services,1
56,561200,Facilities support services,1
56,561300,Employment services,1
56,561400,Business support services,1
56,561500,Travel arrangement and reservation services,1
56,561600,Investigation and security services,1
56,561700,Services to buildings and dwellings,1
56,561900,Other support services,1
56,562000,Waste management and remediation services,1
61,611100,Elementary and secondary schools,1
61,611A00,"Junior colleges, colleges, universities, and professional schools",1
61,611B00,Other educational services,1
62,621100,Offices of physicians,1
62,621200,Offices of dentists,1
62,621300,Offices of other health practitioners,1
62,621400,Outpatient care centers,1
62,621500,Medical and diagnostic laboratories,1
62,621600,Home health care services,1
62,621900,Other ambulatory health care services,1
62,622000,Hospitals,1
62,623A00,Nursing and community care facilities,1
62,623B00,"Residential mental retardation, mental health, substance abuse and other facilities",1
62,624100,Individual and family services,1
62,624400,Child day care services,1
62,624A00,"Community food, housing, and other relief services, including rehabilitation services",1
71,711100,Performing arts companies,1
71,711200,Spectator sports,1
71,711500,"Independent artists, writers, and performers",1
71,711A00,Promoters of performing arts and sports and agents for public figures,1
71,712000,"Museums, historical sites, zoos, and parks",1
71,713100,Amusement parks and arcades,1
71,713200,Gambling industries (except casino hotels),1
71,713900,Other amusement and recreation industries,1
72,721000,Accommodation,1
72,722110,Full-service restaurants,1
72,722211,Limited-service restaurants,1
72,722A00,All other food and drinking places,1
81,811100,Automotive repair and maintenance,1
81,811200,Electronic and precision equipment repair and maintenance,1
81,811300,Commercial and industrial machinery and equipment repair and maintenance,1
81,811400,Personal and household goods repair and maintenance,1
81,812100,Personal care services,1
81,812200,Death care services,1
81,812300,Dry-cleaning and laundry services,1
81,812900,Other personal services,1
81,813100,Religious organizations,1
81,813A00,"Grantmaking, giving, and social advocacy organizations",1
81,813B00,"Civic, social, professional, and similar organizations",1
81,814000,Private households,1
S0,S00102,Other federal government enterprises,1
S0,S00203,Other state and local government enterprises,1
S0,S00101,Federal electric utilities,1
S0,S00201,State and local government passenger transit,1
S0,S00202,State and local government electric utilities,1
S0,S00500,Federal general government (defense),1
S0,S00600,Federal general government (nondefense),1
S0,S00700,State and local general government,1
