"","agg_code","agg_desc","Equipment","IPP","Structures"
"1","11","Agri, Forestry, Fishing",0.754313701736423,0.00466878797382196,0.241017510289755
"2","21","Mining, Fossil Extraction",0.111016656635646,0.0195849527715438,0.86939839059281
"3","22","Electricity, Water",0.465255960599933,0.0518727030724898,0.482871336327577
"4","23","Construction",0.85265667923345,0.0567272076546041,0.090616113111946
"5","31","Food, Drink, Textile, Apparel",0.576125392310191,0.208818723288856,0.215055884400953
"6","32","Bio, Chemical, Mineral Products",0.401540458030664,0.495427953309267,0.103031588660069
"7","33","Metal, Vehicles, Machinery",0.295477909177291,0.621650754903234,0.0828713359194755
"8","42","Wholesale Trade",0.530079130601409,0.351798813136282,0.118122056262308
"9","4X","Retail Trade",0.474750144253006,0.165878802262827,0.359371053484168
"10","48","Transport",0.690557819215618,0.0460626141191343,0.263379566665248
"11","49","Delivery, Warehousing",0.65231992363372,0.146788864549219,0.200891211817061
"12","51","Information Industries",0.277946617428657,0.602477983324749,0.119575399246594
"13","52","Finance, Insurance",0.532460494566949,0.308997358548477,0.158542146884573
"14","53","Housing, Real Estate",0.126731864967352,0.004912433809888,0.86835570122276
"15","54","Science, Prof. Services",0.271831536981956,0.68324305592461,0.0449254070934339
"16","55","Management",0.185613173927584,0.543113501771147,0.271273324301268
"17","56","Admin, Support, Waste Services",0.436933971769731,0.456729294190019,0.10633673404025
"18","61","Education",0.298205985443718,0.314623966094104,0.387170048462178
"19","62","Healthcare, Social assistance",0.600360769968599,0.119439063151841,0.28020016687956
"20","71","Arts, Entertainment, Recreation",0.24997407344764,0.466153330892288,0.283872595660072
"21","72","Accommodation, Restaurants",0.480060847979496,0.0374839646231503,0.482455187397354
"22","81","Repair, Personal services",0.392198787403055,0.192559810339767,0.415241402257177
"23","S0","Govt., Reuse, Trade Adjustments",0.240311255608246,0.379764754138309,0.379923990253445
