item,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Autos,1163,1418,1475,1749,1980,1490,1387,823,1167,1155,1556,1817,1938,1382,1489,1678,3652,1106,1529,304,958,1980,2289,3555,4077,5294,7111,7101,7252,8906,10206,12608,11677,13727,12645,14181,14332,14683,15551,16629,17569,18605,19473,21543,23277,24851,26939,28523,31112,33110,34805,38453,43460,49289,53926,57510,60976,59468,56914,64289,76248,87565,94769,97528,103095,106343,110444,110269,117658,119673,123660,124554,123701,124365,125400,133362,134128,134536,132671,132718,132027,133430,134446,135003,132915,129396,129914,130438,130649,128986,128271,128510
Light trucks,22,28,31,33,43,53,54,48,41,44,48,56,66,73,73,77,92,92,74,60,49,73,144,222,290,323,374,426,426,423,395,447,491,502,513,509,501,506,548,606,666,754,865,1024,1216,1388,1610,1971,2552,3284,4034,5017,6558,8673,10602,11523,11718,11718,12510,14572,17996,22314,25998,29514,33855,38151,41625,44567,49971,56362,62150,68021,74448,81719,91816,101657,112065,122919,134958,145869,155131,157487,158782,155561,154086,156826,161306,166447,173102,181059,191980,203647
