dig_code,intermed,gos
1111A0,10288,10650
1111B0,55639,7314
111200,6230,9323
111300,6264,7928
111400,7645,5605
111900,10024,5767
1121A0,37297,14175
112120,23176,10726
112A00,7378,14105
112300,25011,6803
113000,8722,4704
114000,2142,3237
115000,5127,2686
211000,88353,155691
212100,20582,12486
2122A0,6358,5104
212230,4772,6144
212310,7120,8228
2123A0,6293,5234
213111,7924,7582
21311A,16027,17271
221100,128536,86797
221200,71177,26812
221300,3442,3761
230301,59723,31031
230302,31736,11845
233210,20105,7933
233230,11947,2963
233240,25309,23499
233262,46397,21010
233293,35141,11288
2332A0,54556,17204
2332B0,53714,29236
233411,135755,41315
233412,23702,9421
2334A0,116313,60588
321100,21314,1194
321200,15996,737
321910,18910,1114
3219A0,15735,1701
327100,4347,1136
327200,14147,2780
327310,5162,3508
327320,24984,2243
327330,4856,1807
327390,7136,1428
327400,4798,1359
327910,1944,1798
327991,2312,421
327992,1770,929
327993,3055,1391
327999,1920,466
331110,78010,13194
331200,16527,1585
33131A,5277,1288
331314,6474,858
33131B,21220,1351
331411,5815,1504
331419,4208,1074
331420,21050,1750
331490,12852,3377
331510,11111,2043
331520,8296,1826
33211A,8004,1471
332114,6145,1490
33211B,7979,1548
332200,5408,1699
332310,30213,3082
332320,28945,2582
332410,3340,875
332420,5368,1476
332430,12999,1275
332500,5596,1646
332600,5527,684
332710,19184,2909
332720,12775,6581
332800,15084,4299
33291A,13538,4728
332913,2397,1126
332991,3712,1457
33299A,4226,1308
332996,4265,1207
33299B,11276,1863
333111,13421,4068
333112,6086,1299
333120,23177,4198
333130,13662,1343
33329A,13549,1610
333220,2207,63
333295,9172,2079
33331A,8845,335
333313,1031,217
333314,2428,47
333315,985,230
33341A,2929,866
333414,2934,887
333415,19668,4024
333511,2615,303
33351A,3394,635
333514,3969,377
33351B,4666,837
333611,5684,1227
333612,1870,563
333613,2356,813
333618,19196,2404
33391A,7435,3606
333912,5679,1941
333920,16827,5151
333991,1217,641
33399A,10867,2241
333993,2478,578
333994,1263,237
33399B,5400,835
334111,23575,6738
334112,4776,1143
33411A,7967,1810
334210,11033,4423
334220,21522,13123
334290,2795,495
334300,4272,1345
