dig_code,dig_desc,sig_code,sig_desc
336211,Motor vehicle body manufacturing,336M,"Motor vehicles, bodies and trailers, and parts"
336212,Truck trailer manufacturing,336M,"Motor vehicles, bodies and trailers, and parts"
336213,Motor home manufacturing,336M,"Motor vehicles, bodies and trailers, and parts"
336214,Travel trailer and camper manufacturing,336M,"Motor vehicles, bodies and trailers, and parts"
336310,Motor vehicle gasoline engine and engine parts manufacturing,336M,"Motor vehicles, bodies and trailers, and parts"
336320,Motor vehicle electrical and electronic equipment manufacturing,336M,"Motor vehicles, bodies and trailers, and parts"
3363A0,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",336M,"Motor vehicles, bodies and trailers, and parts"
336350,Motor vehicle transmission and power train parts manufacturing,336M,"Motor vehicles, bodies and trailers, and parts"
336360,Motor vehicle seating and interior trim manufacturing,336M,"Motor vehicles, bodies and trailers, and parts"
336370,Motor vehicle metal stamping,336M,"Motor vehicles, bodies and trailers, and parts"
336390,Other motor vehicle parts manufacturing,336M,"Motor vehicles, bodies and trailers, and parts"
336411,Aircraft manufacturing,336O,Other transportation equipment
336412,Aircraft engine and engine parts manufacturing,336O,Other transportation equipment
336413,Other aircraft parts and auxiliary equipment manufacturing,336O,Other transportation equipment
336414,Guided missile and space vehicle manufacturing,336O,Other transportation equipment
33641A,Propulsion units and parts for space vehicles and guided missiles,336O,Other transportation equipment
336500,Railroad rolling stock manufacturing,336O,Other transportation equipment
336611,Ship building and repairing,336O,Other transportation equipment
336612,Boat building,336O,Other transportation equipment
336991,"Motorcycle, bicycle, and parts manufacturing",336O,Other transportation equipment
336992,"Military armored vehicle, tank, and tank component manufacturing",336O,Other transportation equipment
336999,All other transportation equipment manufacturing,336O,Other transportation equipment
337110,Wood kitchen cabinet and countertop manufacturing,3370,Furniture and related products
337121,Upholstered household furniture manufacturing,3370,Furniture and related products
337122,Nonupholstered wood household furniture manufacturing,3370,Furniture and related products
33712A,Other household nonupholstered furniture,3370,Furniture and related products
337127,Institutional furniture manufacturing,3370,Furniture and related products
33721A,Office furniture and custom architectural woodwork and millwork manufacturing,3370,Furniture and related products
337215,"Showcase, partition, shelving, and locker manufacturing",3370,Furniture and related products
337900,Other furniture related product manufacturing,3370,Furniture and related products
339112,Surgical and medical instrument manufacturing,338A,Miscellaneous manufacturing
339113,Surgical appliance and supplies manufacturing,338A,Miscellaneous manufacturing
339114,Dental equipment and supplies manufacturing,338A,Miscellaneous manufacturing
339115,Ophthalmic goods manufacturing,338A,Miscellaneous manufacturing
339116,Dental laboratories,338A,Miscellaneous manufacturing
339910,Jewelry and silverware manufacturing,338A,Miscellaneous manufacturing
339920,Sporting and athletic goods manufacturing,338A,Miscellaneous manufacturing
339930,"Doll, toy, and game manufacturing",338A,Miscellaneous manufacturing
339940,Office supplies (except paper) manufacturing,338A,Miscellaneous manufacturing
339950,Sign manufacturing,338A,Miscellaneous manufacturing
339990,All other miscellaneous manufacturing,338A,Miscellaneous manufacturing
311111,Dog and cat food manufacturing,311A,Food and beverage and tobacco products
311119,Other animal food manufacturing,311A,Food and beverage and tobacco products
311210,Flour milling and malt manufacturing,311A,Food and beverage and tobacco products
311221,Wet corn milling,311A,Food and beverage and tobacco products
31122A,Soybean and other oilseed processing,311A,Food and beverage and tobacco products
311225,Fats and oils refining and blending,311A,Food and beverage and tobacco products
311230,Breakfast cereal manufacturing,311A,Food and beverage and tobacco products
311300,Sugar and confectionery product manufacturing,311A,Food and beverage and tobacco products
311410,Frozen food manufacturing,311A,Food and beverage and tobacco products
311420,"Fruit and vegetable canning, pickling, and drying",311A,Food and beverage and tobacco products
31151A,Fluid milk and butter manufacturing,311A,Food and beverage and tobacco products
311513,Cheese manufacturing,311A,Food and beverage and tobacco products
311514,"Dry, condensed, and evaporated dairy product manufacturing",311A,Food and beverage and tobacco products
311520,Ice cream and frozen dessert manufacturing,311A,Food and beverage and tobacco products
31161A,"Animal (except poultry) slaughtering, rendering, and processing",311A,Food and beverage and tobacco products
311615,Poultry processing,311A,Food and beverage and tobacco products
311700,Seafood product preparation and packaging,311A,Food and beverage and tobacco products
311810,Bread and bakery product manufacturing,311A,Food and beverage and tobacco products
3118A0,"Cookie, cracker, pasta, and tortilla manufacturing",311A,Food and beverage and tobacco products
311910,Snack food manufacturing,311A,Food and beverage and tobacco products
311920,Coffee and tea manufacturing,311A,Food and beverage and tobacco products
311930,Flavoring syrup and concentrate manufacturing,311A,Food and beverage and tobacco products
311940,Seasoning and dressing manufacturing,311A,Food and beverage and tobacco products
311990,All other food manufacturing,311A,Food and beverage and tobacco products
312110,Soft drink and ice manufacturing,311A,Food and beverage and tobacco products
312120,Breweries,311A,Food and beverage and tobacco products
312130,Wineries,311A,Food and beverage and tobacco products
312140,Distilleries,311A,Food and beverage and tobacco products
312200,Tobacco product manufacturing,311A,Food and beverage and tobacco products
313100,"Fiber, yarn, and thread mills",313T,Textile mills and textile product mills
313200,Fabric mills,313T,Textile mills and textile product mills
313300,Textile and fabric finishing and fabric coating mills,313T,Textile mills and textile product mills
314110,Carpet and rug mills,313T,Textile mills and textile product mills
314120,Curtain and linen mills,313T,Textile mills and textile product mills
314900,Other textile product mills,313T,Textile mills and textile product mills
315000,Apparel manufacturing,315A,Apparel and leather and allied products
316000,Leather and allied product manufacturing,315A,Apparel and leather and allied products
322110,Pulp mills,3220,Paper products
322120,Paper mills,3220,Paper products
322130,Paperboard mills,3220,Paper products
322210,Paperboard container manufacturing,3220,Paper products
322220,Paper bag and coated and treated paper manufacturing,3220,Paper products
322230,Stationery product manufacturing,3220,Paper products
322291,Sanitary paper product manufacturing,3220,Paper products
322299,All other converted paper product manufacturing,3220,Paper products
323110,Printing,3230,Printing and related support activities
323120,Support activities for printing,3230,Printing and related support activities
324110,Petroleum refineries,3240,Petroleum and coal products
324121,Asphalt paving mixture and block manufacturing,3240,Petroleum and coal products
324122,Asphalt shingle and coating materials manufacturing,3240,Petroleum and coal products
324190,Other petroleum and coal products manufacturing,3240,Petroleum and coal products
325110,Petrochemical manufacturing,3250,Chemical products
325120,Industrial gas manufacturing,3250,Chemical products
325130,Synthetic dye and pigment manufacturing,3250,Chemical products
325180,Other basic inorganic chemical manufacturing,3250,Chemical products
