peq_code,peq_desc,dig_code,dig_desc,pro,tra,who,ret,pur
24,"Other trucks, buses, and truck trailers",336211,Motor vehicle body manufacturing,3295,74,568,38,3976
24,"Other trucks, buses, and truck trailers",336212,Truck trailer manufacturing,7151,101,1129,0,8381
24,"Other trucks, buses, and truck trailers",S00402,Used and secondhand goods,153,110,798,0,1061
25,Autos,336111,Automobile manufacturing,68582,1953,7971,4048,82555
25,Autos,S00401,Scrap,-50,0,0,0,-50
25,Autos,S00402,Used and secondhand goods,-35002,362,230,595,-33815
26,Aircraft,334511,"Search, detection, and navigation instruments manufacturing",1560,28,157,0,1745
26,Aircraft,336360,Motor vehicle seating and interior trim manufacturing,729,13,22,0,764
26,Aircraft,336411,Aircraft manufacturing,25621,414,763,0,26797
26,Aircraft,336412,Aircraft engine and engine parts manufacturing,487,8,15,0,510
26,Aircraft,S00402,Used and secondhand goods,-2199,197,484,0,-1519
27,Ships and boats,336611,Ship building and repairing,4493,72,113,114,4792
27,Ships and boats,336612,Boat building,841,13,21,257,1133
27,Ships and boats,S00402,Used and secondhand goods,31,1,3,0,35
28,Railroad equipment,336500,Railroad rolling stock manufacturing,8051,288,169,0,8508
28,Railroad equipment,541300,"Architectural, engineering, and related services",573,0,0,0,573
28,Railroad equipment,S00402,Used and secondhand goods,21,0,0,0,22
30,Furniture and fixtures,337110,Wood kitchen cabinet and countertop manufacturing,975,45,136,0,1156
30,Furniture and fixtures,337121,Upholstered household furniture manufacturing,593,97,79,113,882
30,Furniture and fixtures,337122,Nonupholstered wood household furniture manufacturing,745,122,98,145,1111
30,Furniture and fixtures,33712A,Other household nonupholstered furniture,291,48,39,43,421
30,Furniture and fixtures,337127,Institutional furniture manufacturing,6845,1121,879,1108,9952
30,Furniture and fixtures,33721A,Office furniture and custom architectural woodwork and millwork manufacturing,11474,1882,1523,920,15800
30,Furniture and fixtures,337215,"Showcase, partition, shelving, and locker manufacturing",6273,1055,816,186,8330
30,Furniture and fixtures,337900,Other furniture related product manufacturing,968,162,250,56,1436
30,Furniture and fixtures,339940,Office supplies (except paper) manufacturing,49,9,4,0,63
30,Furniture and fixtures,541300,"Architectural, engineering, and related services",2618,0,0,0,2618
30,Furniture and fixtures,S00402,Used and secondhand goods,97,225,27,0,349
33,Agricultural machinery,333111,Farm machinery and equipment manufacturing,15466,434,4070,0,19970
33,Agricultural machinery,541300,"Architectural, engineering, and related services",1415,0,0,0,1415
33,Agricultural machinery,S00402,Used and secondhand goods,-229,86,1917,0,1773
36,Construction machinery,333120,Construction machinery manufacturing,23107,653,3856,0,27616
36,Construction machinery,333920,Material handling equipment manufacturing,4919,135,747,0,5801
36,Construction machinery,541300,"Architectural, engineering, and related services",2260,0,0,0,2260
36,Construction machinery,S00402,Used and secondhand goods,-172,42,466,0,336
39,Mining and oilfield machinery,21311A,Other support activities for mining,1525,0,0,0,1525
39,Mining and oilfield machinery,333130,Mining and oil and gas field machinery manufacturing,9971,275,2150,0,12395
39,Mining and oilfield machinery,33391A,Pump and pumping equipment manufacturing,1795,49,273,0,2117
39,Mining and oilfield machinery,541300,"Architectural, engineering, and related services",1160,0,0,0,1160
39,Mining and oilfield machinery,S00402,Used and secondhand goods,27,64,792,0,883
40,Service industry machinery,33331A,"Vending, commercial laundry, and other commercial and service industry machinery manufacturing",8631,245,5051,0,13927
40,Service industry machinery,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",6578,180,3109,0,9867
40,Service industry machinery,33391A,Pump and pumping equipment manufacturing,1107,31,168,0,1306
40,Service industry machinery,541300,"Architectural, engineering, and related services",1351,0,0,0,1351
40,Service industry machinery,S00402,Used and secondhand goods,10,10,5,0,25
41,"Electrical equipment, not elsewhere classified",334610,Manufacturing and reproducing magnetic and optical media,477,8,94,0,579
41,"Electrical equipment, not elsewhere classified",335120,Lighting fixture manufacturing,937,157,263,0,1357
