dig_code,dig_desc,x
1111A0,Oilseed farming,42655
1111B0,Grain farming,92357
111200,Vegetable and melon farming,14753
111300,Fruit and tree nut farming,25763
111400,"Greenhouse, nursery, and floriculture production",18654
111900,Other crop farming,18751
112120,Dairy cattle and milk production,36981
1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",78410
112300,Poultry and egg production,37700
112A00,"Animal production, except cattle and poultry and eggs",39708
113000,Forestry and logging,15881
114000,"Fishing, hunting and trapping",8492
115000,Support activities for agriculture and forestry,22530
211000,Oil and gas extraction,362652
212100,Coal mining,54437
212230,"Copper, nickel, lead, and zinc mining",14009
2122A0,"Iron, gold, silver, and other metal ore mining",22382
212310,Stone mining and quarrying,16251
2123A0,Other nonmetallic mineral mining and quarrying,17586
213111,Drilling oil and gas wells,32686
21311A,Other support activities for mining,93046
221100,"Electric power generation, transmission, and distribution",366949
221200,Natural gas distribution,81645
221300,"Water, sewage and other systems",12892
233210,Health care structures,43893
233262,Educational and vocational structures,68219
230301,Nonresidential maintenance and repair,174828
230302,Residential maintenance and repair,68096
2332A0,Office and commercial structures,73715
233412,Multifamily residential structures,26126
2334A0,Other residential structures,166508
233230,Manufacturing structures,37260
2332D0,Other nonresidential structures,85743
233240,Power and communication structures,93986
233411,Single-family residential structures,122107
2332C0,Transportation structures and highways and streets,114097
321100,Sawmills and wood preservation,23465
321200,"Veneer, plywood, and engineered wood product manufacturing",17236
321910,Millwork,20610
3219A0,All other wood product manufacturing,19459
327100,Clay product and refractory manufacturing,7279
327200,Glass and glass product manufacturing,23570
327310,Cement manufacturing,5927
327320,Ready-mix concrete manufacturing,20858
327330,"Concrete pipe, brick, and block manufacturing",5711
327390,Other concrete product manufacturing,8737
327400,Lime and gypsum product manufacturing,5984
327910,Abrasive product manufacturing,5296
327991,Cut stone and stone product manufacturing,3660
327992,Ground or treated mineral and earth manufacturing,3550
327993,Mineral wool manufacturing,4934
327999,Miscellaneous nonmetallic mineral products,4133
331110,Iron and steel mills and ferroalloy manufacturing,112976
331200,Steel product manufacturing from purchased steel,25906
331314,Secondary smelting and alloying of aluminum,5777
331313,Alumina refining and primary aluminum production,6507
33131B,Aluminum product manufacturing from purchased aluminum,25356
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,14844
331420,"Copper rolling, drawing, extruding and alloying",23349
331490,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",22789
331510,Ferrous metal foundries,18894
331520,Nonferrous metal foundries,12819
332114,Custom roll forming,8342
33211A,"All other forging, stamping, and sintering",14316
332119,"Metal crown, closure, and other metal stamping (except automotive)",11905
332200,Cutlery and handtool manufacturing,9626
332310,Plate work and fabricated structural product manufacturing,40664
332320,Ornamental and architectural metal products manufacturing,36595
332410,Power boiler and heat exchanger manufacturing,7033
332420,Metal tank (heavy gauge) manufacturing,9457
332430,"Metal can, box, and other metal container (light gauge) manufacturing",18850
332500,Hardware manufacturing,7291
332600,Spring and wire product manufacturing,8443
332710,Machine shops,39897
332720,"Turned product and screw, nut, and bolt manufacturing",28017
332800,"Coating, engraving, heat treating and allied activities",27238
332913,Plumbing fixture fitting and trim manufacturing,3534
33291A,Valve and fittings other than plumbing,28454
332991,Ball and roller bearing manufacturing,7015
332996,Fabricated pipe and pipe fitting manufacturing,8205
33299A,"Ammunition, arms, ordnance, and accessories manufacturing",14054
332999,Other fabricated metal manufacturing,14582
333111,Farm machinery and equipment manufacturing,34760
333112,Lawn and garden equipment manufacturing,7714
333120,Construction machinery manufacturing,40206
333130,Mining and oil and gas field machinery manufacturing,32783
333242,Semiconductor machinery manufacturing,10291
33329A,Other industrial machinery manufacturing,22767
333314,Optical instrument and lens manufacturing,5432
333316,Photographic and photocopying equipment manufacturing,2466
333318,Other commercial and service industry machinery manufacturing,19245
333414,Heating equipment (except warm air furnaces) manufacturing,4971
333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",30534
333413,Industrial and commercial fan and blower and air purification equipment manufacturing,6140
333511,Industrial mold manufacturing,6311
333514,"Special tool, die, jig, and fixture manufacturing",7501
333517,Machine tool manufacturing,8100
33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",8688
333611,Turbine and turbine generator set units manufacturing,17054
333612,"Speed changer, industrial high-speed drive, and gear manufacturing",4887
333613,Mechanical power transmission equipment manufacturing,4425
333618,Other engine equipment manufacturing,28185
333912,Air and gas compressor manufacturing,10128
33391A,Pump and pumping equipment manufacturing,16287
333920,Material handling equipment manufacturing,30479
333991,Power-driven handtool manufacturing,3864
333993,Packaging machinery manufacturing,5661
333994,Industrial process furnace and oven manufacturing,2739
33399A,Other general purpose machinery manufacturing,21499
33399B,Fluid power process machinery,11365
334111,Electronic computer manufacturing,12697
334112,Computer storage device manufacturing,9038
334118,Computer terminals and other computer peripheral equipment manufacturing,12949
334210,Telephone apparatus manufacturing,12373
334220,Broadcast and wireless communications equipment,35360
