line,item,2007,2012,2016
24,      Aircraft,12.4,15,15.3
25,      Missiles,5.4,5.4,5.5
26,      Ships,10.6,12.2,11.9
27,      Vehicles,3.9,7.1,5.5
28,      Electronics,5.8,9.3,7.7
29,      Other equipment,19.8,27.2,27.7
32,        Residential,1.5,1.4,1.5
33,        Industrial,2.3,2.2,2.2
34,      Military facilities 3,9.1,10.3,10.8
36,      Software,6.2,7.2,9.2
37,      Research and development,52.6,62.4,59.9
39,    Equipment,11.5,14.6,15.9
41,      Office,1.1,1.7,1.8
42,      Commercial,0.2,0.6,0.7
43,      Health care,1,1,1.2
44,      Educational,0.7,0.8,0.8
45,      Public safety,1.3,1.2,1.4
46,      Amusement and recreation,0.5,0.5,0.5
47,      Transportation,0.4,0.5,0.5
48,      Power,0.1,0.2,0.3
49,      Highways and streets,0.6,0.8,0.8
50,      Conservation and development,3.3,4,4.1
51,      Other structures 4,0.5,0.6,0.7
53,      Software,12.7,15.9,20.3
54,      Research and development,48.4,59.7,64.5
56,  Equipment,35.6,40.3,41.5
58,    Residential,3.4,3.4,4.2
59,    Office,9.3,11.4,13.2
60,    Commercial,0.3,0.3,0.4
61,    Health care,3.6,3.7,4.2
62,    Educational,28.6,38,43.1
63,    Public safety,2.9,3,3.7
64,    Amusement and recreation,3.4,3.6,4.5
65,    Transportation,8.7,11.8,13.4
66,    Power,4.5,5.8,6.5
67,    Highways and streets,49.2,63.4,67.7
68,    Sewer systems,8.2,10.2,11.6
69,    Water systems,5.9,7.4,8.5
70,    Conservation and development,1.4,1.9,2
71,    Other structures 5,0.4,0.4,0.4
73,    Software,11.5,13.3,15.5
74,    Research and development,10.6,14,16.1
