yk_code,yk_desc,dig_code,dig_desc,pro,tra,who,ret,pur
F02E00,Nonresidential private fixed investment in equipment,2122A0,"Iron, gold, silver, and other metal ore mining",264,36,10,0,310
F02E00,Nonresidential private fixed investment in equipment,21311A,Other support activities for mining,3775,0,0,0,3775
F02E00,Nonresidential private fixed investment in equipment,332200,Cutlery and handtool manufacturing,122,4,47,4,176
F02E00,Nonresidential private fixed investment in equipment,332310,Plate work and fabricated structural product manufacturing,239,6,23,0,269
F02E00,Nonresidential private fixed investment in equipment,332320,Ornamental and architectural metal products manufacturing,358,10,36,0,404
F02E00,Nonresidential private fixed investment in equipment,332410,Power boiler and heat exchanger manufacturing,3289,88,1084,0,4461
F02E00,Nonresidential private fixed investment in equipment,332420,Metal tank (heavy gauge) manufacturing,4194,114,106,0,4414
F02E00,Nonresidential private fixed investment in equipment,332430,"Metal can, box, and other metal container (light gauge) manufacturing",238,6,23,0,268
F02E00,Nonresidential private fixed investment in equipment,332500,Hardware manufacturing,199,6,76,0,281
F02E00,Nonresidential private fixed investment in equipment,33291A,Valve and fittings other than plumbing,2766,74,911,0,3751
F02E00,Nonresidential private fixed investment in equipment,332996,Fabricated pipe and pipe fitting manufacturing,855,23,174,0,1052
F02E00,Nonresidential private fixed investment in equipment,332999,Other fabricated metal manufacturing,471,13,96,0,579
F02E00,Nonresidential private fixed investment in equipment,333111,Farm machinery and equipment manufacturing,29178,809,10568,0,40555
F02E00,Nonresidential private fixed investment in equipment,333112,Lawn and garden equipment manufacturing,4906,134,1815,10176,17032
F02E00,Nonresidential private fixed investment in equipment,333120,Construction machinery manufacturing,27450,763,8403,0,36616
F02E00,Nonresidential private fixed investment in equipment,333130,Mining and oil and gas field machinery manufacturing,21119,573,6523,0,28215
F02E00,Nonresidential private fixed investment in equipment,333242,Semiconductor machinery manufacturing,6362,172,1142,0,7676
F02E00,Nonresidential private fixed investment in equipment,33329A,Other industrial machinery manufacturing,18119,489,3243,0,21851
F02E00,Nonresidential private fixed investment in equipment,333314,Optical instrument and lens manufacturing,3663,98,821,0,4583
F02E00,Nonresidential private fixed investment in equipment,333316,Photographic and photocopying equipment manufacturing,1052,28,1203,693,2978
F02E00,Nonresidential private fixed investment in equipment,333318,Other commercial and service industry machinery manufacturing,11696,330,7376,1198,20600
F02E00,Nonresidential private fixed investment in equipment,333414,Heating equipment (except warm air furnaces) manufacturing,80,2,26,0,108
F02E00,Nonresidential private fixed investment in equipment,333415,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",7009,188,2667,0,9864
F02E00,Nonresidential private fixed investment in equipment,333413,Industrial and commercial fan and blower and air purification equipment manufacturing,2506,68,779,0,3353
F02E00,Nonresidential private fixed investment in equipment,333511,Industrial mold manufacturing,5846,157,1050,0,7053
F02E00,Nonresidential private fixed investment in equipment,333514,"Special tool, die, jig, and fixture manufacturing",7592,204,1363,0,9159
F02E00,Nonresidential private fixed investment in equipment,333517,Machine tool manufacturing,9412,253,1685,0,11349
F02E00,Nonresidential private fixed investment in equipment,33351B,"Cutting and machine tool accessory, rolling mill, and other metalworking machinery manufacturing",2583,70,464,0,3116
F02E00,Nonresidential private fixed investment in equipment,333611,Turbine and turbine generator set units manufacturing,10147,278,1822,0,12247
F02E00,Nonresidential private fixed investment in equipment,333618,Other engine equipment manufacturing,2835,78,509,74,3496
F02E00,Nonresidential private fixed investment in equipment,333912,Air and gas compressor manufacturing,6124,165,1099,0,7388
F02E00,Nonresidential private fixed investment in equipment,33391A,Pump and pumping equipment manufacturing,10199,277,1831,0,12307
F02E00,Nonresidential private fixed investment in equipment,333920,Material handling equipment manufacturing,20830,563,3740,0,25134
F02E00,Nonresidential private fixed investment in equipment,333991,Power-driven handtool manufacturing,2996,81,538,3407,7022
F02E00,Nonresidential private fixed investment in equipment,333993,Packaging machinery manufacturing,4556,123,818,0,5497
F02E00,Nonresidential private fixed investment in equipment,333994,Industrial process furnace and oven manufacturing,1402,38,252,0,1692
F02E00,Nonresidential private fixed investment in equipment,33399A,Other general purpose machinery manufacturing,12866,353,2309,0,15528
F02E00,Nonresidential private fixed investment in equipment,33399B,Fluid power process machinery,490,13,88,0,592
F02E00,Nonresidential private fixed investment in equipment,334111,Electronic computer manufacturing,36048,378,13569,5455,55450
F02E00,Nonresidential private fixed investment in equipment,334112,Computer storage device manufacturing,6687,70,2392,727,9876
F02E00,Nonresidential private fixed investment in equipment,334118,Computer terminals and other computer peripheral equipment manufacturing,11725,118,4192,1125,17160
F02E00,Nonresidential private fixed investment in equipment,334210,Telephone apparatus manufacturing,5818,58,2517,1285,9678
F02E00,Nonresidential private fixed investment in equipment,334220,Broadcast and wireless communications equipment,37159,368,13516,0,51044
F02E00,Nonresidential private fixed investment in equipment,334290,Other communications equipment manufacturing,707,19,341,0,1067
F02E00,Nonresidential private fixed investment in equipment,334510,Electromedical and electrotherapeutic apparatus manufacturing,20025,206,7074,0,27306
F02E00,Nonresidential private fixed investment in equipment,334511,"Search, detection, and navigation instruments manufacturing",15887,162,2195,0,18245
F02E00,Nonresidential private fixed investment in equipment,334513,Industrial process variable instruments manufacturing,6592,67,911,0,7570
F02E00,Nonresidential private fixed investment in equipment,334514,Totalizing fluid meter and counting device manufacturing,2657,72,367,0,3097
F02E00,Nonresidential private fixed investment in equipment,334515,Electricity and signal testing instruments manufacturing,3773,102,509,0,4384
F02E00,Nonresidential private fixed investment in equipment,334516,Analytical laboratory instrument manufacturing,9606,257,1305,0,11168
F02E00,Nonresidential private fixed investment in equipment,334517,Irradiation apparatus manufacturing,7587,78,2329,0,9995
F02E00,Nonresidential private fixed investment in equipment,33451A,"Watch, clock, and other measuring and controlling device manufacturing",5120,139,707,0,5967
F02E00,Nonresidential private fixed investment in equipment,334300,Audio and video equipment manufacturing,8098,82,2239,1222,11641
F02E00,Nonresidential private fixed investment in equipment,334610,Manufacturing and reproducing magnetic and optical media,164,2,53,0,219
F02E00,Nonresidential private fixed investment in equipment,335120,Lighting fixture manufacturing,1383,206,397,0,1986
F02E00,Nonresidential private fixed investment in equipment,335210,Small electrical appliance manufacturing,387,60,107,0,554
F02E00,Nonresidential private fixed investment in equipment,335221,Household cooking appliance manufacturing,21,0,6,0,27
F02E00,Nonresidential private fixed investment in equipment,335222,Household refrigerator and home freezer manufacturing,128,2,36,0,166
F02E00,Nonresidential private fixed investment in equipment,335224,Household laundry equipment manufacturing,224,3,62,0,289
F02E00,Nonresidential private fixed investment in equipment,335228,Other major household appliance manufacturing,50,1,14,0,65
F02E00,Nonresidential private fixed investment in equipment,335311,"Power, distribution, and specialty transformer manufacturing",5645,64,1622,0,7330
F02E00,Nonresidential private fixed investment in equipment,335312,Motor and generator manufacturing,2863,29,822,0,3714
F02E00,Nonresidential private fixed investment in equipment,335313,Switchgear and switchboard apparatus manufacturing,5838,66,1677,0,7581
F02E00,Nonresidential private fixed investment in equipment,335314,Relay and industrial control manufacturing,1198,12,344,0,1555
F02E00,Nonresidential private fixed investment in equipment,335911,Storage battery manufacturing,405,4,55,0,465
F02E00,Nonresidential private fixed investment in equipment,335920,Communication and energy wire and cable manufacturing,247,2,71,0,320
F02E00,Nonresidential private fixed investment in equipment,335930,Wiring device manufacturing,84,1,12,0,97
F02E00,Nonresidential private fixed investment in equipment,335999,All other miscellaneous electrical equipment and component manufacturing,7359,77,1809,0,9246
F02E00,Nonresidential private fixed investment in equipment,336111,Automobile manufacturing,64919,2130,15620,6265,88933
F02E00,Nonresidential private fixed investment in equipment,336112,Light truck and utility vehicle manufacturing,90608,1476,830,4818,97732
F02E00,Nonresidential private fixed investment in equipment,336120,Heavy duty truck manufacturing,23699,372,719,0,24790
F02E00,Nonresidential private fixed investment in equipment,336211,Motor vehicle body manufacturing,2425,46,833,37,3341
F02E00,Nonresidential private fixed investment in equipment,336212,Truck trailer manufacturing,7435,72,2693,0,10201
F02E00,Nonresidential private fixed investment in equipment,336213,Motor home manufacturing,64,1,3,249,317
F02E00,Nonresidential private fixed investment in equipment,336214,Travel trailer and camper manufacturing,582,6,24,26,639
F02E00,Nonresidential private fixed investment in equipment,336360,Motor vehicle seating and interior trim manufacturing,1892,23,33,0,1948
F02E00,Nonresidential private fixed investment in equipment,336411,Aircraft manufacturing,27676,280,1186,0,29141
F02E00,Nonresidential private fixed investment in equipment,336412,Aircraft engine and engine parts manufacturing,497,5,22,0,524
F02E00,Nonresidential private fixed investment in equipment,336414,Guided missile and space vehicle manufacturing,5856,59,245,0,6159
F02E00,Nonresidential private fixed investment in equipment,336500,Railroad rolling stock manufacturing,11275,380,470,0,12125
F02E00,Nonresidential private fixed investment in equipment,336611,Ship building and repairing,5124,55,209,127,5515
F02E00,Nonresidential private fixed investment in equipment,336612,Boat building,449,4,18,343,815
F02E00,Nonresidential private fixed investment in equipment,336991,"Motorcycle, bicycle, and parts manufacturing",182,2,29,252,465
F02E00,Nonresidential private fixed investment in equipment,336999,All other transportation equipment manufacturing,992,10,77,818,1898
F02E00,Nonresidential private fixed investment in equipment,337110,Wood kitchen cabinet and countertop manufacturing,604,28,79,0,712
F02E00,Nonresidential private fixed investment in equipment,337121,Upholstered household furniture manufacturing,554,83,115,62,813
F02E00,Nonresidential private fixed investment in equipment,337122,Nonupholstered wood household furniture manufacturing,551,82,114,63,810
F02E00,Nonresidential private fixed investment in equipment,337127,Institutional furniture manufacturing,7832,1165,1604,724,11325
F02E00,Nonresidential private fixed investment in equipment,33712N,Other household nonupholstered furniture,268,40,56,23,388
F02E00,Nonresidential private fixed investment in equipment,337215,"Showcase, partition, shelving, and locker manufacturing",5254,831,1069,89,7244
F02E00,Nonresidential private fixed investment in equipment,33721A,Office furniture and custom architectural woodwork and millwork manufacturing,8556,1276,1774,427,12033
F02E00,Nonresidential private fixed investment in equipment,337900,Other furniture related product manufacturing,852,132,303,28,1315
F02E00,Nonresidential private fixed investment in equipment,339112,Surgical and medical instrument manufacturing,20906,215,7386,0,28507
F02E00,Nonresidential private fixed investment in equipment,339113,Surgical appliance and supplies manufacturing,6238,64,2204,0,8506
F02E00,Nonresidential private fixed investment in equipment,339114,Dental equipment and supplies manufacturing,1783,18,630,0,2431
F02E00,Nonresidential private fixed investment in equipment,339920,Sporting and athletic goods manufacturing,1559,235,631,0,2426
F02E00,Nonresidential private fixed investment in equipment,339940,Office supplies (except paper) manufacturing,38,6,4,1,49
F02E00,Nonresidential private fixed investment in equipment,339950,Sign manufacturing,7166,1084,2313,0,10563
F02E00,Nonresidential private fixed investment in equipment,339990,All other miscellaneous manufacturing,4143,626,3333,282,8384
F02E00,Nonresidential private fixed investment in equipment,313200,Fabric mills,10,0,1,36,48
F02E00,Nonresidential private fixed investment in equipment,314110,Carpet and rug mills,831,39,397,3013,4280
F02E00,Nonresidential private fixed investment in equipment,325180,Other Basic Inorganic Chemical Manufacturing,3175,0,0,0,3175
F02E00,Nonresidential private fixed investment in equipment,326140,Polystyrene foam product manufacturing,0,0,0,0,1
F02E00,Nonresidential private fixed investment in equipment,326150,Urethane and other foam product (except polystyrene) manufacturing,18,0,10,64,92
F02E00,Nonresidential private fixed investment in equipment,326290,Other rubber product manufacturing,123,2,25,33,184
F02E00,Nonresidential private fixed investment in equipment,423100,Motor vehicle and motor vehicle parts and supplies,23498,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,423400,Professional and commercial equipment and supplies,51589,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,423600,Household appliances and electrical and electronic goods ,30804,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,423800,"Machinery, equipment, and supplies",56778,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,423A00,Other durable goods merchant wholesalers,10739,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,424200,Drugs and druggists’ sundries,105,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,424400,Grocery and related product wholesalers ,75,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,424700,Petroleum and petroleum products,62,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,424A00,Other nondurable goods merchant wholesalers,1333,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,425000,Wholesale electronic markets and agents and brokers,5377,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,441000,Motor vehicle and parts dealers,16406,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,445000,Food and beverage stores,175,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,452000,General merchandise stores,2541,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,444000,Building material and garden equipment and supplies dealers,11022,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,446000,Health and personal care stores,41,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,447000,Gasoline stations,19,0,0,0,0
F02E00,Nonresidential private fixed investment in equipment,448000,Clothing and clothing accessories stores,31,0,0,0,0
