dig_code,intermed,gos
611100,7474,1167
611A00,56709,41857
611B00,31373,1446
621100,136147,27854
621200,36824,20643
621300,27097,22975
621400,43645,34619
621500,18385,12203
621600,19722,7253
621900,13445,4350
622000,310777,59085
623A00,68389,6193
623B00,14613,1481
624100,35079,206
624400,14223,8860
624A00,24187,322
711100,7354,7324
711200,12709,6391
711500,4417,20140
711A00,13340,12748
712000,5580,3203
713100,5119,2615
713200,10920,9971
713900,33851,5261
721000,86338,38511
722110,118489,30182
722211,142946,30523
722A00,31017,5845
811100,42223,11217
811200,6911,606
811300,13136,2263
811400,3616,9553
812100,20497,14627
812200,7576,3863
812300,9115,452
812900,18302,17278
813100,61018,9175
813A00,14710,6550
813B00,31169,2486
814000,NA,NA
S00500,268692,159606
S00600,113854,95001
491000,25938,-5641
S00101,8120,1870
S00102,12866,3020
GSLGE,195967,66497
GSLGH,105423,16828
GSLGO,321203,95027
S00201,26794,-28222
S00202,32333,15141
S00203,119084,59074
