M1N113F1SU60.A,4,6,7
M1N113F1SU40.A,0,0,0
M1N113F1SU50.A,0,0,0
M1N113F1SU20.A,0,0,0
M1N113F1SM01.A,0,0,0
M1N113F1SM02.A,0,0,0
M1N113F1SB10.A,0,0,0
M1N113F1SB20.A,0,0,0
M1N113F1SB41.A,0,0,0
M1N113F1SB42.A,0,0,0
M1N113F1SB43.A,0,0,0
M1N113F1SB45.A,4,4,4
M1N113F1SU11.A,0,0,0
M1N113F1SU12.A,0,0,0
M1N113F1SB44.A,0,0,0
M1N113F1SB46.A,16,14,15
M1N113F1SN00.A,1,2,3
M1N113F1SO01.A,34,35,35
M1N113F1SO02.A,15,15,15
M1N113F1SO03.A,51,45,49
M1N113F1SO04.A,74,77,70
M1N113F1IP00.A,116,80,78
M1N113F1ENS1.A,97,61,61
M1N113F1ENS2.A,18,20,16
M1N113F1ENS3.A,0,0,0
M1N113F1RD11.A,0,0,0
M1N113F1RD12.A,0,0,0
M1N113F1RD23.A,0,0,0
M1N113F1RD21.A,0,0,0
M1N113F1RD22.A,0,0,0
M1N113F1RD24.A,0,0,0
M1N113F1RD25.A,0,0,0
M1N113F1RD31.A,0,0,0
M1N113F1RD32.A,0,0,0
M1N113F1RDOM.A,0,0,0
M1N113F1RD70.A,0,0,0
M1N113F1RD40.A,0,0,0
M1N113F1RD50.A,0,0,0
M1N113F1RD60.A,0,0,0
M1N113F1RD80.A,0,0,0
M1N113F1RD91.A,0,0,0
M1N113F1RD92.A,0,0,0
M1N113F1AE10.A,0,0,0
M1N113F1AE20.A,0,0,0
M1N113F1AE30.A,0,0,0
M1N113F1AE40.A,0,0,0
M1N113F1AE50.A,0,0,0
M1N21101EQ00.A,5447,7648,9148
M1N21101EP1A.A,15,22,13
M1N21101EP1B.A,171,153,88
M1N21101EP1C.A,0,0,0
M1N21101EP1D.A,34,26,14
M1N21101EP1E.A,23,25,14
M1N21101EP1F.A,0,0,0
M1N21101EP1G.A,15,20,11
M1N21101EP1H.A,77,82,52
M1N21101EP20.A,154,137,87
M1N21101EP34.A,0,0,0
M1N21101EP35.A,0,1,0
M1N21101EP36.A,235,154,154
M1N21101EP31.A,38,32,34
M1N21101EP12.A,6,3,2
M1N21101EI11.A,0,0,0
M1N21101EI12.A,141,104,76
M1N21101EI21.A,0,0,0
M1N21101EI22.A,50,22,9
M1N21101EI30.A,76,45,27
M1N21101EI40.A,0,0,0
M1N21101EI50.A,283,350,488
M1N21101EI60.A,85,73,59
M1N21101ET11.A,82,167,349
M1N21101ET12.A,49,45,32
M1N21101ET20.A,112,133,213
M1N21101ET30.A,164,162,177
M1N21101ET40.A,730,696,597
M1N21101ET50.A,0,0,0
M1N21101EO11.A,0,0,0
M1N21101EO12.A,110,103,81
M1N21101EO30.A,0,0,0
M1N21101EO21.A,4,5,3
M1N21101EO40.A,96,62,35
M1N21101EO22.A,6,4,2
M1N21101EO50.A,2445,4830,6346
M1N21101EO60.A,21,16,9
M1N21101EO71.A,0,0,0
M1N21101EO72.A,29,18,8
M1N21101EO80.A,196,158,168
M1N21101ST00.A,88169,108913,126987
M1N21101SOO1.A,319,345,386
M1N21101SB31.A,0,0,0
M1N21101SB32.A,0,0,0
M1N21101SOO2.A,0,0,0
M1N21101SC03.A,0,0,0
M1N21101SC04.A,0,0,0
M1N21101SC01.A,1,1,1
M1N21101SOMO.A,31,27,24
M1N21101SC02.A,1,2,2
M1N21101SI00.A,2434,2412,2487
M1N21101SU30.A,49,70,70
M1N21101SU60.A,0,0,2
M1N21101SU40.A,354,780,918
M1N21101SU50.A,129,360,576
M1N21101SU20.A,0,0,0
M1N21101SM01.A,84600,104382,121497
M1N21101SM02.A,201,481,971
M1N21101SB10.A,0,0,0
M1N21101SB20.A,0,0,0
M1N21101SB41.A,0,0,0
M1N21101SB42.A,2,3,3
M1N21101SB43.A,0,0,0
M1N21101SB45.A,0,0,0
M1N21101SU11.A,0,0,0
M1N21101SU12.A,0,0,0
M1N21101SB44.A,0,0,0
M1N21101SB46.A,0,0,0
M1N21101SN00.A,0,0,0
M1N21101SO01.A,8,8,8
M1N21101SO02.A,3,3,3
M1N21101SO03.A,23,22,24
M1N21101SO04.A,16,17,15
M1N21101IP00.A,2017,2206,2675
M1N21101ENS1.A,784,603,546
M1N21101ENS2.A,163,272,368
M1N21101ENS3.A,63,52,56
M1N21101RD11.A,0,0,0
M1N21101RD12.A,0,0,0
M1N21101RD23.A,0,0,0
M1N21101RD21.A,0,0,0
M1N21101RD22.A,0,0,0
M1N21101RD24.A,0,0,0
M1N21101RD25.A,0,0,0
M1N21101RD31.A,0,0,0
M1N21101RD32.A,0,0,0
M1N21101RDOM.A,0,0,0
M1N21101RD70.A,0,0,0
M1N21101RD40.A,0,0,0
M1N21101RD50.A,0,0,0
M1N21101RD60.A,0,0,0
M1N21101RD80.A,1007,1278,1706
M1N21101RD91.A,0,0,0
M1N21101RD92.A,0,0,0
M1N21101AE10.A,0,0,0
M1N21101AE20.A,0,0,0
M1N21101AE30.A,0,0,0
M1N21101AE40.A,0,0,0
M1N21101AE50.A,0,0,0
M1N21201EQ00.A,4726,7014,7154
M1N21201EP1A.A,2,12,15
M1N21201EP1B.A,29,117,116
M1N21201EP1C.A,0,0,0
M1N21201EP1D.A,7,22,20
M1N21201EP1E.A,5,14,18
M1N21201EP1F.A,0,0,0
M1N21201EP1G.A,3,12,15
M1N21201EP1H.A,12,56,58
M1N21201EP20.A,32,44,41
M1N21201EP34.A,0,0,0
M1N21201EP35.A,1,5,6
M1N21201EP36.A,141,113,87
M1N21201EP31.A,7,5,3
M1N21201EP12.A,0,0,0
M1N21201EI11.A,0,0,0
M1N21201EI12.A,121,157,116
M1N21201EI21.A,15,13,11
M1N21201EI22.A,26,15,9
M1N21201EI30.A,41,72,97
M1N21201EI40.A,6,4,3
M1N21201EI50.A,863,807,660
M1N21201EI60.A,67,73,66
M1N21201ET11.A,79,189,236
M1N21201ET12.A,227,216,207
M1N21201ET20.A,88,103,127
M1N21201ET30.A,12,12,8
M1N21201ET40.A,1,9,13
M1N21201ET50.A,32,26,23
M1N21201EO11.A,0,0,0
M1N21201EO12.A,37,83,125
M1N21201EO30.A,0,0,0
M1N21201EO21.A,3,4,5
M1N21201EO40.A,1405,2390,2448
M1N21201EO22.A,55,330,366
M1N21201EO50.A,972,1646,1937
M1N21201EO60.A,52,56,51
M1N21201EO71.A,0,0,0
M1N21201EO72.A,41,27,12
M1N21201EO80.A,343,381,257
M1N21201ST00.A,3598,4567,6200
M1N21201SOO1.A,63,68,70
M1N21201SB31.A,0,0,0
M1N21201SB32.A,0,0,0
M1N21201SOO2.A,0,0,0
M1N21201SC03.A,0,0,0
M1N21201SC04.A,0,0,0
M1N21201SC01.A,3,4,5
M1N21201SOMO.A,35,31,28
M1N21201SC02.A,4,4,4
M1N21201SI00.A,592,899,1201
M1N21201SU30.A,14,22,22
M1N21201SU60.A,0,0,0
M1N21201SU40.A,17,31,29
M1N21201SU50.A,5,12,13
M1N21201SU20.A,0,0,0
M1N21201SM01.A,0,1,6
M1N21201SM02.A,2793,3419,4745
M1N21201SB10.A,0,0,0
M1N21201SB20.A,0,0,0
M1N21201SB41.A,0,0,0
M1N21201SB42.A,0,0,0
M1N21201SB43.A,0,0,0
M1N21201SB45.A,0,0,0
M1N21201SU11.A,0,0,0
M1N21201SU12.A,0,0,0
M1N21201SB44.A,0,0,0
M1N21201SB46.A,0,0,0
M1N21201SN00.A,0,0,0
M1N21201SO01.A,29,30,29
M1N21201SO02.A,3,3,3
M1N21201SO03.A,23,21,23
M1N21201SO04.A,19,22,20
M1N21201IP00.A,316,358,375
M1N21201ENS1.A,90,119,95
M1N21201ENS2.A,32,32,26
M1N21201ENS3.A,7,1,0
M1N21201RD11.A,0,0,0
M1N21201RD12.A,0,0,0
M1N21201RD23.A,0,0,0
M1N21201RD21.A,0,0,0
M1N21201RD22.A,0,0,0
M1N21201RD24.A,0,0,0
M1N21201RD25.A,0,0,0
M1N21201RD31.A,0,0,0
M1N21201RD32.A,0,0,0
M1N21201RDOM.A,0,0,0
M1N21201RD70.A,0,0,0
M1N21201RD40.A,0,0,0
M1N21201RD50.A,0,0,0
M1N21201RD60.A,0,0,0
M1N21201RD80.A,186,206,254
M1N21201RD91.A,0,0,0
M1N21201RD92.A,0,0,0
M1N21201AE10.A,0,0,0
M1N21201AE20.A,0,0,0
