code,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
I3N110C1EP35.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EP36.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,5,11,12,14,13,13,15,45,92,130,154,200,260,298,333,350,380,654,867,1194,1520,1876,2268,3212,3552,4232,5133,5718,5610,6550,7482,9880,9935,11809,9058,9305
I3N110C1EP31.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,2,2,6,12,14,16,18,24,24,22,20,18,15,9,7,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
I3N110C1EP12.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,2,6,12,14,16,20,21,15,12,8,4,3,1,1,1,1,2,2,1,1,0,0,0,0,0,1,1,1,0,0
I3N110C1EI11.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EI12.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,6,7,8,8,5,6,7,41,84,106,122,130,161,196,223,251,283,259,230,260,283,254,265,253,242,214,205,269,267,267,324,431,419,467,312,327
I3N110C1EI21.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EI22.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,6,7,7,5,7,7,13,17,14,16,16,38,63,92,123,188,140,154,120,129,107,106,100,80,57,33,31,21,27,43,58,51,62,39,39
I3N110C1EI30.A,4,6,4,4,4,5,5,5,5,6,6,7,7,7,8,10,11,17,19,19,10,7,12,10,12,14,16,15,17,15,8,4,3,6,11,14,20,16,14,16,25,18,10,24,28,25,39,48,45,45,53,47,47,40,43,37,38,44,52,43,45,51,56,52,61,68,73,69,67,70,64,74,165,172,179,203,214,224,223,131,49,10,10,10,8,11,13,108,195,207,235,284,296,235,181,88,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EI40.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EI50.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,8,8,10,11,8,10,13,22,26,26,25,27,108,193,297,396,557,486,329,317,220,209,201,185,146,100,52,57,56,66,86,113,101,118,80,82
I3N110C1EI60.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,6,6,6,4,4,6,11,16,18,19,22,28,37,44,51,65,51,39,41,32,32,33,40,30,24,17,16,13,17,22,28,31,32,21,21
I3N110C1ET11.A,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,9,11,10,16,32,22,23,22,33,36,39,37,41,45,29,20,12,15,20,29,36,37,21,29,32,46,41,48,55,38,83,180,207,208,209,187,156,174,183,156,166,196,203,199,185,194,187,202,217,284,302,305,205,220,231,245,274,401,451,397,518,671,766,879,634,597,501,595,757,675,591,608,672,573,440,374,93,183,382,559,728,1150,731,1059,1136,1175,1236,1343,1750,1810,1823,1737,1352,113,1547,2508,2837,3235,5833,3915,5420
I3N110C1ET12.A,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,7,8,7,11,26,19,18,16,26,28,31,31,35,17,10,7,4,15,22,33,43,41,23,30,32,51,45,53,45,41,91,242,291,297,273,260,210,251,263,216,211,246,253,247,229,234,227,268,284,403,429,451,281,291,305,315,357,521,589,546,680,860,1015,1214,894,787,626,762,935,921,784,753,740,772,570,438,439,674,753,1040,1004,901,985,801,566,291,263,275,419,421,445,510,515,511,644,784,967,1059,1571,1281,1095
I3N110C1ET20.A,0,0,0,0,0,0,0,0,0,0,0,14,17,18,24,29,43,87,150,189,129,121,154,71,286,153,154,159,169,142,125,106,102,107,119,130,141,121,130,140,146,104,103,84,80,177,255,259,328,407,312,268,373,347,405,295,349,326,325,331,303,382,354,371,459,432,399,524,531,393,581,655,737,630,670,856,1029,1099,1118,944,1157,1048,1322,1391,1268,1141,934,1179,910,979,1139,1118,1241,1541,1335,1344,1269,1124,1174,934,736,592,467,468,466,461,475,469,247,682,919,1188,834,806,577,445
I3N110C1ET30.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1ET40.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1ET50.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EO11.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I3N110C1EO12.A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,3,4,4,4,5,20,42,53,57,69,73,67,66,57,61,51,35,33,28,23,20,17,15,10,6,7,7,7,8,10,10,11,8,9
I3N110C1EO30.A,79,110,86,90,94,116,117,100,121,125,124,140,152,142,154,177,185,222,252,232,162,106,188,158,187,228,231,243,265,252,114,62,49,71,136,176,229,229,183,209,309,280,180,349,414,344,663,967,1003,1042,1094,1102,998,944,995,890,880,1223,1229,1111,1085,1166,1483,1546,1799,2014,2233,2065,2371,2840,2841,3273,4342,4859,5953,5942,6528,7217,8226,7206,7543,5644,4772,5022,4207,4189,3940,5294,7098,7759,6354,5591,6639,7332,7915,8312,8846,9399,6893,7375,8697,9538,10134,10750,10961,10199,10620,13087,14174,13111,15050,19182,22591,22555,16166,14707
I3N110C1EO21.A,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,36,61,147,165,182,52,57,79,74,91,104,119,101,140,131,84,42,21,49,96,151,201,142,142,169,242,122,60,211,237,200,360,543,610,632,664,603,602,468,596,463,493,514,656,418,522,582,702,750,840,1070,1006,1060,964,968,964,1215,1519,1469,1942,2041,2139,2527,3381,3097,3587,2641,2534,2883,1917,1575,1761,2547,2606,2934,2622,2103,2618,3184,3302,3081,4942,4617,2756,3372,2968,3852,4099,4743,4951,4366,4664,5621,6137,5529,6670,11735,14229,14683,12338,10992
