dig_code,dig_desc,q
314900,Other textile product mills,10556
315000,Apparel manufacturing,20247
316000,Leather and allied product manufacturing,8499
322110,Pulp mills,6853
322120,Paper mills,47496
322130,Paperboard mills,25286
322210,Paperboard container manufacturing,48718
322220,Paper Bag and Coated and Treated Paper Manufacturing,19924
322230,Stationery product manufacturing,8214
322291,Sanitary paper product manufacturing,11358
322299,All other converted paper product manufacturing,4847
323110,Printing,70081
323120,Support activities for printing,6670
324110,Petroleum refineries,551137
324121,Asphalt paving mixture and block manufacturing,11834
324122,Asphalt shingle and coating materials manufacturing,7994
324190,Other petroleum and coal products manufacturing,21737
325110,Petrochemical manufacturing,94799
325120,Industrial gas manufacturing,9094
325130,Synthetic dye and pigment manufacturing,7713
325180,Other Basic Inorganic Chemical Manufacturing,31701
325190,Other basic organic chemical manufacturing,100682
325211,Plastics material and resin manufacturing,84663
3252A0,Synthetic rubber and artificial and synthetic fibers and filaments manufacturing,23142
325411,Medicinal and botanical manufacturing,11812
325412,Pharmaceutical preparation manufacturing,132096
325413,In-vitro diagnostic substance manufacturing,9719
325414,Biological product (except diagnostic) manufacturing,19625
325310,Fertilizer manufacturing,18018
325320,Pesticide and other agricultural chemical manufacturing,11568
325510,Paint and coating manufacturing,22254
325520,Adhesive manufacturing,10112
325610,Soap and cleaning compound manufacturing,45528
325620,Toilet preparation manufacturing,36304
325910,Printing ink manufacturing,4699
3259A0,All other chemical product and preparation manufacturing,37058
326110,Plastics packaging materials and unlaminated film and sheet manufacturing,35516
326120,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",13968
326130,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",3589
326140,Polystyrene foam product manufacturing,7560
326150,Urethane and other foam product (except polystyrene) manufacturing,9365
326160,Plastics bottle manufacturing,11592
326190,Other plastics product manufacturing,86024
326210,Tire manufacturing,16562
326220,Rubber and plastics hoses and belting manufacturing,4406
326290,Other rubber product manufacturing,15518
423100,Motor vehicle and motor vehicle parts and supplies,68104
423400,Professional and commercial equipment and supplies,127352
423600,Household appliances and electrical and electronic goods ,110931
423800,"Machinery, equipment, and supplies",100217
423A00,Other durable goods merchant wholesalers,205363
424200,Drugs and druggists’ sundries,96372
424400,Grocery and related product wholesalers ,108635
424700,Petroleum and petroleum products,137293
424A00,Other nondurable goods merchant wholesalers,236930
425000,Wholesale electronic markets and agents and brokers,36976
4200ID,Customs duties,28793
441000,Motor vehicle and parts dealers,145363
445000,Food and beverage stores,169518
452000,General merchandise stores,189525
444000,Building material and garden equipment and supplies dealers,122971
446000,Health and personal care stores,81256
447000,Gasoline stations,67299
448000,Clothing and clothing accessories stores,110968
454000,Nonstore retailers,129607
4B0000,All other retail,201599
481000,Air transportation,159522
482000,Rail transportation,59610
483000,Water transportation,47549
484000,Truck transportation,273181
485000,Transit and ground passenger transportation,56578
486000,Pipeline transportation,25860
48A000,Scenic and sightseeing transportation and support activities for transportation,108776
492000,Couriers and messengers,83652
493000,Warehousing and storage,72391
511110,Newspaper publishers,10831
511120,Periodical Publishers,20762
511130,Book publishers,36262
5111A0,"Directory, mailing list, and other publishers",12113
511200,Software publishers,130556
512100,Motion picture and video industries,114785
512200,Sound recording industries,21291
515100,Radio and television broadcasting,20141
515200,Cable and other subscription programming,33185
517110,Wired telecommunications carriers,317963
517210,Wireless telecommunications carriers (except satellite),156657
517A00,"Satellite, telecommunications resellers, and all other telecommunications",27798
518200,"Data processing, hosting, and related services",86138
519130,Internet publishing and broadcasting and Web search portals,17495
5191A0,"News syndicates, libraries, archives and all other information services",8687
522A00,Nondepository credit intermediation and related activities,218762
52A000,Monetary authorities and depository credit intermediation,417995
523900,Other financial investment activities,315240
523A00,Securities and commodity contracts intermediation and brokerage,208169
524113,Direct life insurance carriers,85658
5241XX,"Insurance carriers, except direct life",423199
524200,"Insurance agencies, brokerages, and related activities",185567
525000,"Funds, trusts, and other financial vehicles",136230
531HSO,Owner-occupied housing,1156063
531HST,Tenant-occupied housing,322730
531ORE,Other real estate,901960
532100,Automotive equipment rental and leasing,101247
532400,Commercial and industrial machinery and equipment rental and leasing,79892
532A00,General and consumer goods rental,40124
533000,Lessors of nonfinancial intangible assets,135599
541100,Legal services,290234
541511,Custom computer programming services,153545
541512,Computer systems design services,90999
54151A,"Other computer related services, including facilities management",49300
541200,"Accounting, tax preparation, bookkeeping, and payroll services",128916
541300,"Architectural, engineering, and related services",272319
541610,Management consulting services,142843
5416A0,Environmental and other technical consulting services,31919
541700,Scientific research and development services,430596
541800,"Advertising, public relations, and related services",338263
541400,Specialized design services,28854
541920,Photographic services,12000
541940,Veterinary services,22466
5419A0,"All other miscellaneous professional, scientific, and technical services ",64315
550000,Management of companies and enterprises,421306
561300,Employment services,177513
561700,Services to buildings and dwellings,141117
561100,Office administrative services,43417
561200,Facilities support services,27177
561400,Business support services,73175
561500,Travel arrangement and reservation services,39927
561600,Investigation and security services,46871
561900,Other support services,36977
562000,Waste management and remediation services,87860
611100,Elementary and secondary schools,38699
611A00,"Junior colleges, colleges, universities, and professional schools",170794
611B00,Other educational services,58569
621100,Offices of physicians,346994
621200,Offices of dentists,96992
621300,Offices of other health practitioners,61808
621400,Outpatient care centers,78507
621500,Medical and diagnostic laboratories,37399
621600,Home health care services,64891
621900,Other ambulatory health care services,34552
622000,Hospitals,648618
623A00,Nursing and community care facilities,138499
623B00,"Residential mental health, substance abuse, and other residential care facilities",34414
624100,Individual and family services,58442
624400,Child day care services,42496
624A00,"Community food, housing, and other relief services, including rehabilitation services",34101
711100,Performing arts companies,27909
711200,Spectator sports,28727
711500,"Independent artists, writers, and performers",25763
711A00,Promoters of performing arts and sports and agents for public figures,22470
712000,"Museums, historical sites, zoos, and parks",12246
713100,Amusement parks and arcades,12109
713200,Gambling industries (except casino hotels),85966
713900,Other amusement and recreation industries,60037
721000,Accommodation,143894
722110,Full-service restaurants,242530
722211,Limited-service restaurants,263877
722A00,All other food and drinking places,116938
811100,Automotive repair and maintenance,185136
811200,Electronic and precision equipment repair and maintenance,39520
811300,Commercial and industrial machinery and equipment repair and maintenance,56182
811400,Personal and household goods repair and maintenance,33736
812100,Personal care services,59165
812200,Death care services,18136
812300,Dry-cleaning and laundry services,25898
812900,Other personal services,57326
813100,Religious organizations,77273
813A00,"Grantmaking, giving, and social advocacy organizations",40185
813B00,"Civic, social, professional, and similar organizations",58024
814000,Private households,18043
S00500,Federal general government (defense),528119
S00600,Federal general government (nondefense),272353
491000,Postal service,74680
S00102,Other federal government enterprises,2924
GSLGE,State and local government educational services,655831
GSLGH,State and local government hospitals and health services,57958
GSLGO,State and local government other services,684560
S00203,Other state and local government enterprises,68019
S00401,Scrap,9769
S00402,Used and secondhand goods,
S00300,Noncomparable imports,
S00900,Rest of the world adjustment,1714
