dig_code,intermed,gos
1111A0,13594,9967
1111B0,44804,12968
111200,9249,6414
111300,6901,7783
111400,9099,4191
111900,10943,6176
112120,24194,8980
1121A0,33411,20483
112300,28641,2486
112A00,5982,14757
113000,8947,3132
114000,2125,3586
115000,5090,3898
211000,71027,155520
212100,18194,14786
212230,5757,5424
2122A0,7052,5013
212310,8333,7596
2123A0,7194,4337
213111,19976,10826
21311A,24055,14000
221100,141179,86707
221200,75131,27965
221300,3377,2559
233210,21233,9348
233262,38484,19562
230301,62190,28857
230302,29066,13971
2332A0,53882,17185
233412,25600,15141
2334A0,123624,54792
233230,11603,3653
2332D0,47077,18613
233240,24850,23474
233411,136483,41270
2332C0,49714,21173
321100,20909,995
321200,16016,919
321910,19486,1244
3219A0,17813,1583
327100,4651,1333
327200,12423,3992
327310,6911,1822
327320,26208,1994
327330,5531,1466
327390,7636,1272
327400,4896,1362
327910,1392,2208
327991,2415,605
327992,1358,1008
327993,3128,1274
327999,1670,907
331110,79015,12767
331200,15933,1996
331314,7199,281
331313,6208,488
33131B,21205,1712
331410,8474,3831
331420,22711,342
331490,12158,3486
331510,10101,3410
331520,8811,1506
332114,6230,1384
33211A,8161,1343
332119,7672,1410
332200,5647,1993
332310,30789,3339
332320,29085,3231
332410,2927,862
332420,5645,1077
332430,12337,1964
332500,6114,1311
332600,6016,752
332710,18798,2639
332720,12972,6341
332800,14621,4493
332913,2878,791
33291A,12915,4708
332991,3394,1273
332996,4066,1113
33299A,3444,2014
332999,14258,1219
333111,12532,4526
333112,5495,835
333120,22519,4193
333130,13119,1342
333242,9869,1827
33329A,16423,2846
333314,2145,65
333316,835,281
333318,11123,2479
333414,3251,674
333415,19712,4253
333413,3066,595
333511,2948,319
333514,4127,122
333517,3579,506
33351B,4945,712
333611,5372,1610
333612,1954,558
333613,2476,670
333618,19330,2107
333912,6290,1350
33391A,8319,2466
333920,17439,4385
333991,1192,702
333993,2327,585
333994,1263,296
33399A,10482,2511
33399B,5269,792
334111,27196,4227
334112,3461,710
334118,5451,4743
334210,13783,4610
334220,23411,12881
334290,2701,530
334413,31267,24787
334418,14403,4773
33441A,13703,2377
334510,12800,6997
334511,21463,10283
334512,1692,136
334513,4821,181
334514,3164,1632
334515,7789,1194
334516,6455,3313
334517,3724,909
33451A,4500,2384
334300,9617,1718
334610,4706,1208
335110,1415,45
335120,6764,1648
335210,2303,364
335221,2654,901
335222,3952,502
335224,2809,167
335228,2515,1298
335311,4714,531
335312,7779,1539
335313,6173,1607
335314,5511,190
335911,3040,1287
335912,1076,1094
335920,11941,2104
335930,6279,2862
335991,1559,654
335999,5533,1316
336111,66057,8327
336112,130257,24120
336120,17784,1247
336211,6665,62
336212,5266,336
336213,4226,98
336214,8416,746
336310,19998,2271
336320,13237,934
336350,28566,1760
336360,15690,774
336370,21167,2755
336390,34732,4877
3363A0,16088,1198
336411,57175,21116
336412,18894,9405
336413,14123,6859
336414,8589,129
33641A,3954,784
336500,9481,1645
336611,10403,1113
336612,8534,419
336991,3560,1598
336992,8368,1901
336999,6433,1224
337110,12130,594
337121,9307,359
337122,4849,518
337127,3844,510
33712N,2407,129
337215,5361,186
33721A,9745,3950
337900,5519,2052
339112,12932,6837
339113,16875,8246
339114,2428,796
339115,3289,2340
339116,2272,242
339910,7812,1604
339920,8900,1244
339930,2044,215
339940,2588,344
339950,8395,608
339990,19440,3146
311111,9284,2417
311119,19729,1250
311210,10139,1205
311221,9486,702
311225,11761,802
311224,18399,1834
311230,5573,2334
311300,20109,2850
311410,18323,2268
311420,28046,2435
311513,29084,1122
311514,9449,2148
31151A,29060,1853
311520,7279,347
311615,40268,2732
31161A,94048,4513
311700,8921,415
311810,20511,2554
3118A0,13342,2875
311910,14796,5690
311920,5337,1497
311930,3317,2686
311940,10562,1819
311990,14149,1604
312110,36653,2723
312120,12165,5756
312130,8374,1920
312140,4106,2157
312200,14217,25725
313100,7681,269
313200,11327,1761
313300,6749,110
314110,10971,869
314120,2742,394
314900,5642,772
315000,12469,831
316000,5538,42
322110,3313,1010
322120,32770,8774
322130,16421,5448
322210,36604,2173
322220,14484,2152
322230,6040,393
322291,5674,1956
322299,3197,603
323110,53539,12577
323120,2281,888
324110,433968,123391
324121,7793,2903
324122,3912,3342
324190,6235,6546
325110,59553,12919
325120,7136,96
325130,6070,1075
325180,19392,7129
325190,82213,11523
325211,68877,10289
3252A0,12837,898
325411,6988,3436
325412,72864,51554
325413,5553,4616
325414,6535,13423
325310,10435,5584
325320,5775,3970
325510,15711,4527
325520,6935,1965
325610,23645,17980
325620,19997,13772
325910,3612,575
3259A0,26816,6910
326110,24089,4126
326120,9174,1464
326130,2380,339
326140,5454,774
326150,7204,654
326160,8752,1177
326190,62002,9423
326210,11413,1180
326220,2467,259
326290,10017,1762
423100,27585,13920
423400,38299,19452
423600,39454,38292
423800,34388,19969
423A00,90240,28396
424200,19482,35236
424400,48873,19908
424700,7128,26555
424A00,89939,45561
425000,17639,8762
4200ID,NA,NA
441000,53018,30980
445000,64103,27739
452000,73845,9979
444000,38600,17971
446000,25265,5981
447000,26307,16351
448000,57817,8854
454000,51763,44870
4B0000,74027,19051
481000,88064,16455
482000,28293,13409
483000,33317,8256
484000,155376,43307
485000,18688,10948
486000,12730,6535
48A000,47833,12735
492000,40058,11196
493000,27770,9413
511110,16998,14543
511120,20347,15060
511130,19360,12880
5111A0,12705,8984
511200,49993,50681
512100,52807,33894
512200,7784,9923
515100,28035,22277
515200,22451,24355
517110,129253,113738
517210,88880,54391
517A00,11933,5551
518200,38504,17753
519130,12978,11333
5191A0,1830,3002
522A00,98595,46516
52A000,212594,132795
523900,155113,-18118
523A00,148221,-5301
524113,2299,33959
5241XX,204596,129385
524200,79182,30704
525000,91918,20835
531HSO,157467,872447
531HST,6112,284351
531ORE,571763,224630
532100,20612,15939
532400,20915,21270
532A00,13745,7335
533000,50723,74387
541100,72988,86049
541511,34187,5816
541512,33319,9921
54151A,22355,7236
541200,24704,34646
541300,127693,23343
541610,55509,22496
5416A0,10516,3173
541700,82526,8421
541800,48870,43697
541400,11707,10138
541920,5664,3937
541940,6535,7534
5419A0,22999,28435
550000,182267,23515
561300,37690,32368
561700,53181,35495
561100,14408,720
561200,11761,5751
561400,25442,7921
561500,20545,6345
561600,13363,4370
561900,17358,5990
562000,41057,12236
611100,12114,813
611A00,44004,22563
611B00,28962,908
621100,130645,25218
621200,36503,18181
621300,21165,15413
621400,32444,14333
621500,11852,7787
621600,17550,3890
621900,15371,3975
622000,219044,32682
623A00,57404,2879
623B00,12747,722
